,Acatitla,Agrícola Oriental,Allende,Apatlaco,Aquiles Serdán,Aragón,Atlalilco,Auditorio,Autobuses del Norte,Balbuena,Balderas,Barranca del Muerto,Bellas Artes,Bosque de Aragón,Boulevard Puerto Aéreo,Buenavista,Camarones,Canal de San Juan,Canal del Norte,Candelaria,Centro Médico,Cerro de la Estrella,Chabacano,Chapultepec,Chilpancingo,Ciudad Deportiva,Colegio Militar,Constitución de 1917,Consulado,Copilco,Coyuya,Cuatro Caminos,Cuauhtémoc,Cuitláhuac,Culhuacán,Deportivo 18 de Marzo,Deportivo Oceanía,División del Norte,Doctores,Eduardo Molina,Eje Central,El Rosario,Ermita,Escuadrón 201,Etiopía/Plaza de la Transparencia,Eugenia,Ferrería/Arena Ciudad de México,Fray Servando,Garibaldi/Lagunilla,General Anaya,Gomez Farías,Guelatao,Guerrero,Hangares,Hidalgo,Hospital 20 de Noviembre,Hospital General,Indios Verdes,Instituto del Petróleo,Insurgentes,Insurgentes Sur,Isabel La Católica,Iztacalco,Iztapalapa,Jamaica,Juárez,La Raza,La Viga,Lomas Estrella,Lázaro Cárdenas,Martín Carrera,Merced,Mexicaltzingo,Miguel Ángel de Quevedo,Mixcoac,Mixhiuca,Moctezuma,Morelos,Nativitas,Niños Héroes/Poder Judicial CDMX,Norte 45,Observatorio,Oceanía,Olivos,Panteones,Pantitlán,Parque de los Venados,Patriotismo,Periferico Oriente,Peñón Viejo,Pino Suárez,Polanco,Portales,Potrero,Puebla,Refinería,Revolución,Ricardo Flores Magón,Romero Rubio,Salto del Agua,San Andres Tomatlán,San Antonio,San Antonio Abad,San Cosme,San Joaquín,San Juan de Letrán,San Lázaro,San Pedro de Los Pinos,Santa Anita,Santa Marta,Sevilla,Tacuba,Tacubaya,Tasqueña,Tepalcates,Tepito,Terminal Aérea,Tlaltenco,Tlatelolco,Tláhuac,UAM Azcapotzalco,UAM-I,Universidad,Valle Gómez,Vallejo,Velódromo,Viaducto,Villa de Aragón,Villa de Cortés,Viveros/Derechos Humanos,Xola,Zapata,Zaragoza,Zócalo/Tenochtitlan
Acatitla,0.0,0.0,0.0,0.04633490220748617,0.04633490220748617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04633490220748617,0.0,0.0,0.0,0.01657217191315731,0.0,0.0,0.0,0.04633490220748617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017964820437320988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04633490220748617,0.0,0.0,0.04633490220748617,0.0,0.0,0.04633490220748617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04633490220748617,0.0,0.0,0.0,0.0,0.0,0.0,0.04633490220748617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666319590698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04633490220748617,0.0,0.0,0.04633490220748617,0.0,0.0,0.0,0.0,0.0,0.04633490220748617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09266980441497234,0.0,0.0,0.0,0.0,0.015958884082703045,0.0,0.0,0.0,0.0,0.0,0.0,0.04633490220748617,0.04633490220748617,0.0,0.01882608877769147,0.0,0.0,0.0,0.033648226527299256,0.0,0.0,0.0,0.0,0.0,0.0,0.04633490220748617,0.0,0.0,0.0,0.04633490220748617,0.0,0.0,0.0,0.0
Agrícola Oriental,0.0,0.0,0.0,0.0,0.0,0.0,0.04090866086573397,0.0,0.0,0.0,0.0,0.0,0.04090866086573397,0.0,0.0,0.0,0.014637583041673442,0.0,0.0,0.0,0.0,0.0,0.04090866086573397,0.0,0.0,0.0,0.0,0.04090866086573397,0.0,0.0,0.0,0.0,0.04090866086573397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04090866086573397,0.0,0.0,0.04090866086573397,0.0,0.0,0.0,0.04090866086573397,0.0,0.04090866086573397,0.0,0.0,0.0,0.0,0.0,0.0,0.014169308295684769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04090866086573397,0.0,0.0,0.04090866086573397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04090866086573397,0.0,0.0,0.0,0.0,0.08181732173146794,0.0,0.0,0.0,0.0,0.0,0.04090866086573397,0.0,0.0,0.04090866086573397,0.0,0.0,0.0,0.04090866086573397,0.0,0.0,0.08181732173146794,0.015289866117653445,0.04090866086573397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015004042633107558,0.04090866086573397
Allende,0.0,0.0,0.026262395069029942,0.0,0.0,0.0,0.0,0.013131197534514971,0.0,0.0,0.06565598767257486,0.0,0.03939359260354491,0.0,0.0,0.026262395069029942,0.0,0.0,0.0,0.0,0.013131197534514971,0.0,0.03939359260354491,0.0,0.0,0.0,0.013131197534514971,0.0,0.013131197534514971,0.005136014548669413,0.004780933701395889,0.0,0.013131197534514971,0.0,0.0,0.0,0.0,0.0053623011402460985,0.0,0.0,0.0,0.0,0.0,0.0,0.026262395069029942,0.013131197534514971,0.0,0.013131197534514971,0.0,0.0,0.004928523803785105,0.004828166568469185,0.0,0.0,0.03939359260354491,0.0,0.0,0.013131197534514971,0.0,0.013131197534514971,0.0044035573153347355,0.0,0.0,0.0,0.004916582122587988,0.0,0.013131197534514971,0.0,0.0,0.0,0.0,0.03939359260354491,0.0,0.00493933113197728,0.026262395069029942,0.026262395069029942,0.0049020400925413035,0.0,0.0,0.0,0.013131197534514971,0.0,0.0,0.0,0.0,0.07878718520708981,0.0,0.0,0.0,0.0,0.013131197534514971,0.0,0.0,0.0,0.0,0.013131197534514971,0.0,0.0,0.0,0.026262395069029942,0.0,0.0,0.013131197534514971,0.0,0.0045609420734246476,0.0,0.07878718520708981,0.00493437192420845,0.0,0.0,0.004132319154404366,0.013131197534514971,0.052524790138059885,0.026262395069029942,0.0,0.026262395069029942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004854165469336938,0.0,0.0,0.013131197534514971,0.0,0.026262395069029942,0.0,0.026262395069029942
Apatlaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08767969668148594,0.0,0.0,0.0,0.0,0.08767969668148594,0.0,0.0,0.0,0.08767969668148594,0.08767969668148594,0.0,0.08767969668148594,0.0,0.0,0.08767969668148594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08767969668148594,0.0,0.0,0.0,0.08767969668148594,0.08767969668148594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03552333650365462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08767969668148594,0.0,0.0,0.0,0.0,0.0,0.0,0.08767969668148594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aquiles Serdán,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Aragón,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10314435767138966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10314435767138966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10314435767138966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10314435767138966,0.0,0.0,0.0,0.0,0.10314435767138966,0.0,0.0,0.03376538248356843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10314435767138966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10314435767138966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10314435767138966,0.03793539847392452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10314435767138966,0.0,0.0
Atlalilco,0.0,0.014228851205041452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04268655361512438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056915404820165806,0.0,0.08537310723024875,0.0,0.014228851205041452,0.0,0.014228851205041452,0.0,0.014228851205041452,0.0,0.0,0.0,0.014228851205041452,0.0,0.0,0.028457702410082903,0.014228851205041452,0.0,0.0,0.0,0.0,0.014228851205041452,0.0,0.0,0.014228851205041452,0.0,0.0,0.0,0.028457702410082903,0.0,0.0,0.0,0.028457702410082903,0.0,0.056915404820165806,0.0,0.0,0.014228851205041452,0.0,0.0,0.0,0.0,0.0,0.0,0.005335208290062723,0.0,0.0,0.0,0.014228851205041452,0.0,0.0,0.014228851205041452,0.0,0.0,0.014228851205041452,0.0,0.0,0.0,0.0,0.0,0.0,0.005143804072963106,0.014228851205041452,0.0,0.0,0.09960195843529014,0.0,0.0,0.014228851205041452,0.0,0.08537310723024875,0.014228851205041452,0.0050373629362382814,0.014228851205041452,0.005496514371838632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028457702410082903,0.028457702410082903,0.0,0.0,0.014228851205041452,0.005344728548063037,0.0,0.0,0.0,0.0,0.014228851205041452,0.014228851205041452,0.0,0.0,0.014228851205041452,0.0,0.005297850399325659,0.014228851205041452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009768063009527306,0.0,0.0,0.0,0.0711442560252073,0.005243437634204162,0.014228851205041452
Auditorio,0.0,0.014434387578209886,0.014434387578209886,0.014434387578209886,0.0,0.0,0.014434387578209886,0.014434387578209886,0.0,0.0,0.057737550312839545,0.005219905119998252,0.057737550312839545,0.0,0.0,0.014434387578209886,0.0,0.0,0.0,0.014434387578209886,0.028868775156419772,0.0,0.028868775156419772,0.0,0.04330316273462969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014434387578209886,0.014434387578209886,0.014434387578209886,0.0,0.014434387578209886,0.0,0.0,0.0,0.014434387578209886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028868775156419772,0.0,0.07217193789104948,0.0,0.014434387578209886,0.0,0.006063252393012711,0.014434387578209886,0.0048469783638804016,0.005026179171378118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014434387578209886,0.0,0.0,0.014434387578209886,0.0,0.028868775156419772,0.0,0.0,0.0,0.0,0.014434387578209886,0.0,0.0,0.0,0.0,0.0,0.04330316273462969,0.0,0.014434387578209886,0.0,0.0,0.08660632546925938,0.028868775156419772,0.0,0.014434387578209886,0.0,0.0,0.0,0.0,0.014434387578209886,0.014434387578209886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004555323351744366,0.028868775156419772,0.014434387578209886,0.014434387578209886,0.0,0.0,0.0,0.0,0.005375771683285797,0.0,0.0,0.0,0.005365094062503369,0.0,0.0,0.0,0.0053245259730479826,0.0,0.0,0.0,0.0,0.0,0.0,0.07217193789104948
Autobuses del Norte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1871708234563835,0.0,0.0,0.0,0.0,0.0,0.0,0.02415884823053363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06239027448546116,0.0,0.0,0.0,0.0,0.0,0.06239027448546116,0.0,0.0,0.0,0.06239027448546116,0.0,0.12478054897092232,0.0,0.0,0.0,0.0,0.0,0.020644764990857815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06239027448546116,0.06239027448546116,0.0,0.0,0.0,0.0,0.06239027448546116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019342269496691315,0.0,0.12478054897092232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06239027448546116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balbuena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0679637521670199,0.0,0.0,0.0679637521670199,0.0,0.1359275043340398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0679637521670199,0.0,0.0,0.0,0.0,0.0679637521670199,0.0,0.0,0.0,0.02523944518918478,0.0,0.0679637521670199,0.0,0.2718550086680796,0.0,0.0,0.0,0.0,0.0,0.0,0.023268024472536286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0679637521670199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0679637521670199,0.0679637521670199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
