,Acatitla,Aculco,Agrícola Oriental,Allende,Apatlaco,Aquiles Serdán,Aragón,Atlalilco,Auditorio,Autobuses del Norte,Balbuena,Balderas,Barranca del Muerto,Bellas Artes,Bondojito,Bosque de Aragón,Boulevard Puerto Aéreo,Buenavista,Calle 11,Camarones,Canal de San Juan,Canal del Norte,Candelaria,Centro Médico,Cerro de la Estrella,Chabacano,Chapultepec,Chilpancingo,Ciudad Deportiva,Colegio Militar,Constitución de 1917,Constituyentes,Consulado,Copilco,Coyoacán,Coyuya,Cuatro Caminos,Cuauhtémoc,Cuitláhuac,Culhuacán,Deportivo 18 de Marzo,Deportivo Oceanía,División del Norte,Doctores,Eduardo Molina,Eje Central,El Rosario,Ermita,Escuadrón 201,Etiopía/Plaza de la Transparencia,Eugenia,Ferrería/Arena Ciudad de México,Fray Servando,Garibaldi/Lagunilla,General Anaya,Gomez Farías,Guelatao,Guerrero,Hangares,Hidalgo,Hospital 20 de Noviembre,Hospital General,Indios Verdes,Instituto del Petróleo,Insurgentes,Insurgentes Sur,Isabel La Católica,Iztacalco,Iztapalapa,Jamaica,Juanacatlán,Juárez,La Raza,La Viga,La Villa/Basílica,Lagunilla,Lindavista,Lomas Estrella,Lázaro Cárdenas,Martín Carrera,Merced,Mexicaltzingo,Miguel Ángel de Quevedo,Misterios,Mixcoac,Mixhiuca,Moctezuma,Morelos,Nativitas,Niños Héroes/Poder Judicial CDMX,Nopalera,Normal,Norte 45,Obrera,Observatorio,Oceanía,Olivos,Panteones,Pantitlán,Parque de los Venados,Patriotismo,Periferico Oriente,Peñón Viejo,Pino Suárez,Polanco,Politécnico,Popotla,Portales,Potrero,Puebla,Refinería,Revolución,Ricardo Flores Magón,Romero Rubio,Salto del Agua,San Andres Tomatlán,San Antonio,San Antonio Abad,San Cosme,San Joaquín,San Juan de Letrán,San Lázaro,San Pedro de Los Pinos,Santa Anita,Santa Marta,Sevilla,Tacuba,Tacubaya,Talismán,Tasqueña,Tepalcates,Tepito,Terminal Aérea,Tezonco,Tezozómoc,Tlaltenco,Tlatelolco,Tláhuac,UAM Azcapotzalco,UAM-I,Universidad,Valle Gómez,Vallejo,Velódromo,Viaducto,Villa de Aragón,Villa de Cortés,Viveros/Derechos Humanos,Xola,Zapata,Zapotitlán,Zaragoza,Zócalo/Tenochtitlan
Acatitla,0.0,0.0,0.0,0.0,0.06702398559663385,0.06702398559663385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007487893354017545,0.0,0.0,0.0,0.0,0.0,0.06702398559663385,0.0,0.0,0.0,0.00865028126353495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06702398559663385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06702398559663385,0.0,0.0,0.01345439034423611,0.0,0.0,0.012801595696015286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008965223313525178,0.0,0.0,0.0,0.0,0.0,0.0,0.011687137002709317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06702398559663385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06702398559663385,0.0,0.0,0.0,0.0,0.010829649943562909,0.0,0.0,0.005029406200542315,0.0,0.0,0.0,0.0,0.0,0.01181090860532303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021369681271384087,0.0,0.0,0.0,0.0,0.06702398559663385,0.0,0.0,0.0,0.0,0.0,0.0,0.00962261381729236,0.006979406431616896,0.0,0.0,0.06702398559663385,0.0,0.0,0.0,0.0,0.0,0.1340479711932677,0.0,0.0,0.0,0.0,0.0,0.0,0.06702398559663385,0.0,0.0,0.0,0.06702398559663385,0.0,0.0,0.0,0.0,0.0
Aculco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06863692601488194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6811056707721218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08692353348230904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08457496576127149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07875890396941576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrícola Oriental,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016980442452403717,0.0,0.0,0.0,0.0,0.0,0.009680008006879534,0.0,0.0,0.0,0.0,0.0,0.08737709972779756,0.0,0.0,0.0,0.0,0.0,0.007900816734453085,0.0,0.0,0.0,0.0,0.015693183569547225,0.08737709972779756,0.0,0.0,0.0,0.0,0.0,0.017348196934691928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08737709972779756,0.0,0.0,0.014814948469033733,0.0,0.0,0.0,0.011622430434624385,0.0,0.00591888196181305,0.0,0.0,0.0,0.0,0.0,0.0,0.08737709972779756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015436329380998134,0.0,0.0,0.0,0.013468656821284362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006542810494515715,0.0,0.0,0.0,0.0,0.014209908284819744,0.0,0.08737709972779756,0.0,0.0,0.0,0.0,0.0,0.01657960720143672,0.0,0.0,0.014152253780051659,0.0,0.0,0.0,0.08737709972779756,0.0,0.0,0.022582038736095867,0.08737709972779756,0.08737709972779756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08737709972779756,0.010675589187172752
Allende,0.0,0.0,0.0,0.014311810054173701,0.0,0.0,0.0,0.0,0.006741410959617201,0.0,0.0,0.016799703023847593,0.0,0.009493435692628867,0.0,0.0,0.0,0.009937059290082664,0.02860521099064503,0.0,0.0,0.0,0.0,0.003761187645824972,0.0,0.007815636782646037,0.0,0.0,0.0,0.02860521099064503,0.0,0.0,0.02860521099064503,0.02860521099064503,0.0,0.02860521099064503,0.0,0.005879085544537739,0.0,0.0,0.0,0.0,0.02860521099064503,0.0,0.0,0.0,0.0,0.0,0.0,0.010985853671788663,0.02860521099064503,0.0,0.02860521099064503,0.0,0.0,0.02860521099064503,0.02860521099064503,0.0,0.0,0.005822202764786028,0.0,0.0,0.005033636838863773,0.0,0.005077248792353351,0.02860521099064503,0.0,0.0,0.0,0.02860521099064503,0.0,0.0,0.005444217165953452,0.0,0.02860521099064503,0.0,0.0,0.0,0.0,0.0,0.015310176198064837,0.0,0.02860521099064503,0.0,0.008918583623599876,0.05721042198129006,0.02860521099064503,0.0,0.0,0.0,0.0,0.02860521099064503,0.02860521099064503,0.0,0.0,0.0,0.0,0.0,0.012457466598385671,0.0,0.0,0.0,0.0,0.0024596241638565027,0.0,0.0,0.0,0.0,0.0,0.0,0.02860521099064503,0.0,0.0,0.0,0.009454228684805279,0.0,0.0,0.007996487090940071,0.0,0.02860521099064503,0.0,0.022051896091170132,0.02860521099064503,0.0,0.0,0.02860521099064503,0.004203925389630364,0.011730143781529605,0.0,0.010671929519056553,0.0,0.05721042198129006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02860521099064503,0.0,0.0,0.02860521099064503,0.0,0.008291167608246941,0.0,0.0,0.0070111862761945715
Apatlaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023014361644774228,0.0,0.0,0.0,0.0,0.0,0.03249944172240705,0.0,0.0,0.0,0.0,0.031366131415274064,0.024508164933589784,0.0,0.017412122422468236,0.0,0.0,0.1995752399401799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1995752399401799,0.0,0.0,0.0,0.1995752399401799,0.012953542720303498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1995752399401799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02532704520364073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034618230176823035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aquiles Serdán,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0679605580540947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05397140092840154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04208539537709779,0.0,0.0,0.353767223350016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05123842624153151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353767223350016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034186078131139025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04302369456770345,0.0,0.0,0.0
Aragón,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20096238862248347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20096238862248347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03567932782060072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025797752831944156,0.0,0.0,0.0,0.0,0.03262726494283365,0.0,0.0,0.20096238862248347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03305448032711507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016217593272853485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02554077402066762,0.20096238862248347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027233252294051363,0.0,0.0,0.0
Atlalilco,0.0,0.0,0.0369477181454204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01220737565734789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018176371373999033,0.0,0.019033651568405766,0.0,0.007993734024382764,0.0,0.0369477181454204,0.0,0.0,0.0369477181454204,0.0,0.0,0.0,0.0,0.0075332868193870054,0.0,0.0,0.014996574622296718,0.0369477181454204,0.0,0.0,0.0,0.0,0.007527539856938578,0.0,0.0,0.0071732855089966545,0.0,0.0,0.0,0.012568555355736461,0.0,0.0,0.0,0.00989178520108337,0.0,0.009870811831198886,0.0,0.0,0.006464676377741571,0.0,0.0,0.0,0.0,0.0,0.0,0.0369477181454204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0369477181454204,0.0,0.0,0.006739836214254945,0.0,0.0,0.0,0.0058588754937045524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0369477181454204,0.006046105142315015,0.0,0.0,0.018338388070060836,0.0,0.0,0.0369477181454204,0.0,0.01776359369542629,0.00670793182670053,0.0,0.0,0.0369477181454204,0.0369477181454204,0.0369477181454204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020438140851540866,0.0738954362908408,0.0,0.0,0.0050525548211855995,0.0369477181454204,0.0,0.0,0.0,0.0,0.0038818377055840642,0.0,0.006909100946059757,0.0,0.0,0.0369477181454204,0.0,0.0,0.0,0.0369477181454204,0.0369477181454204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0738954362908408,0.0,0.0,0.0,0.02526761275945104,0.0,0.0369477181454204,0.00460401136779389
Auditorio,0.0,0.0,0.03555481869267375,0.008998409920977068,0.03555481869267375,0.0,0.0,0.007009170495571754,0.008287764553463568,0.0,0.0,0.016819821637898195,0.03555481869267375,0.01525443436364955,0.0,0.0,0.0,0.006258479730678588,0.0,0.0,0.0,0.0,0.006293847681442433,0.009182426351498827,0.0,0.0064835858217615365,0.0,0.02243885710524004,0.0,0.0,0.0,0.03555481869267375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03555481869267375,0.007345118745086949,0.03555481869267375,0.0,0.03555481869267375,0.0,0.0,0.0,0.006902662077631352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009469557504067814,0.0,0.011720655383868519,0.0,0.03555481869267375,0.0,0.03555481869267375,0.006278834213750199,0.03555481869267375,0.03555481869267375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03555481869267375,0.0,0.0,0.03555481869267375,0.0,0.0,0.03555481869267375,0.0,0.0,0.011120349579228632,0.0,0.0,0.0,0.0,0.008210564860483896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007942624634162065,0.0,0.03555481869267375,0.0,0.0,0.017190617883851095,0.012681810632508284,0.0,0.0,0.0,0.03555481869267375,0.0,0.0,0.0,0.0,0.03555481869267375,0.006000399455310673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03555481869267375,0.010219143126712432,0.0037597237647111073,0.0,0.006682359121214852,0.0,0.0,0.0,0.0,0.0,0.0,0.03555481869267375,0.0,0.0,0.0,0.03555481869267375,0.0,0.0,0.0,0.03555481869267375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02079758880908233
Autobuses del Norte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03228190907378885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13954231438617962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0256100304279361,0.0,0.0,0.0,0.0,0.0,0.022402881664075145,0.0,0.0,0.0,0.017850327566391048,0.0,0.017634599373016455,0.0,0.0,0.0,0.0,0.0,0.13954231438617962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13954231438617962,0.0,0.0,0.0,0.13954231438617962,0.010184258748411739,0.0,0.0,0.0,0.0,0.011463197340245918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13954231438617962,0.0,0.025318909489056997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13954231438617962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
